id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	5	17	25	8	0	20	12	12
21	0	92	171	1168	45	0	1076	1031	79
83	0	376	1553	1564	11	0	1188	1177	1177
26	0	130	240	1979	21	0	1849	1828	110
31	1	140	278	2674	34	0	2534	2500	138
71	1	312	1091	3122	28	0	2810	2782	779
79	1	366	1393	3352	25	0	2986	2961	1027
48	1	240	405	3745	29	0	3505	3476	165
99	1	433	2139	4485	42	9	4052	4001	1715
23	2	109	206	4546	41	0	4437	4396	97
65	2	299	833	4804	46	0	4505	4459	534
67	2	303	913	4875	51	0	4572	4521	610
70	2	310	1051	4955	54	0	4645	4591	741
12	2	51	92	5059	56	1	5008	4951	42
47	2	235	402	5405	47	0	5170	5123	167
15	2	66	125	5653	61	20	5587	5506	79
18	2	83	140	5891	88	9	5808	5711	66
2	2	2	2	5959	99	0	5957	5858	0
8	2	38	54	6030	86	3	5992	5903	19
55	2	268	480	6177	67	1	5909	5841	213
69	2	308	1011	6265	74	9	5957	5874	712
53	2	265	433	6362	78	0	6097	6019	168
33	3	145	288	6530	69	0	6385	6316	143
66	3	301	873	6632	62	0	6331	6269	572
96	3	421	2019	7120	64	0	6699	6635	1598
17	3	79	137	7409	79	0	7330	7251	58
1	3	0	0	7484	105	0	7484	7379	0
81	3	372	1473	7537	88	73	7165	7004	1174
74	3	350	1208	7684	78	0	7334	7256	858
57	3	278	528	7725	88	3	7447	7356	253
22	3	100	196	7854	84	4	7754	7666	100
60	4	287	648	7978	84	0	7691	7607	361
7	4	31	50	8225	95	0	8194	8099	19
90	4	405	1814	8401	99	0	7996	7897	1409
16	4	67	131	8952	122	53	8885	8710	117
5	4	6	31	9137	120	10	9131	9001	35
45	4	231	377	9159	96	10	8928	8822	156
76	5	353	1285	10466	132	15	10113	9966	947
3	5	4	5	10534	158	48	10530	10324	49
24	5	120	228	10663	117	0	10543	10426	108
89	5	403	1781	10666	131	27	10263	10105	1405
95	6	419	1979	11037	132	0	10618	10486	1560
44	6	228	375	11778	129	23	11550	11398	170
42	7	199	361	12106	153	0	11907	11754	162
43	7	206	370	12643	166	0	12437	12271	164
94	7	417	1947	13126	247	78	12709	12384	1608
38	8	183	310	13276	169	0	13093	12924	127
97	8	425	2059	13555	176	4	13130	12950	1638
92	8	409	1894	13726	186	45	13317	13086	1530
49	8	247	409	13845	197	0	13598	13401	162
27	8	131	250	13892	198	13	13761	13550	132
98	8	432	2099	13917	198	13	13485	13274	1680
68	8	306	971	14245	203	8	13939	13728	673
77	9	356	1313	14375	190	0	14019	13829	957
75	10	352	1248	15422	223	28	15070	14819	924
51	10	257	420	15605	223	12	15348	15113	175
35	10	164	299	16036	221	17	15872	15634	152
82	11	375	1513	16425	235	2	16050	15813	1140
52	11	261	425	16427	230	0	16166	15936	164
34	12	151	292	17074	249	0	16923	16674	141
87	13	397	1704	18026	262	0	17629	17367	1307
40	13	195	350	18277	302	0	18082	17780	155
30	13	139	268	18385	296	31	18246	17919	160
61	13	288	688	18517	296	9	18229	17924	409
84	15	377	1584	19604	314	6	19227	18907	1213
54	16	266	440	20400	369	3	20134	19762	177
59	16	283	608	20462	366	38	20179	19775	363
37	16	171	306	20643	368	8	20472	20096	143
32	17	142	283	20938	351	0	20796	20445	141
36	17	169	303	21359	369	13	21190	20808	147
63	17	292	753	21447	365	7	21155	20783	468
19	18	84	145	21641	382	0	21557	21175	61
9	18	44	66	21831	425	5	21787	21357	27
39	18	193	328	21883	403	14	21690	21273	149
20	18	87	164	21904	405	19	21817	21393	96
80	19	370	1433	22441	417	37	22071	21617	1100
13	20	54	99	22797	438	0	22743	22305	45
78	20	361	1353	22982	459	12	22621	22150	1004
28	21	136	261	23250	457	4	23114	22653	129
86	21	385	1664	23376	511	55	22991	22425	1334
56	21	273	503	23582	465	9	23309	22835	239
58	22	281	568	23828	469	50	23547	23028	337
73	23	344	1168	24071	482	76	23727	23169	900
91	24	406	1854	24449	529	35	24043	23479	1483
14	24	59	109	24489	564	21	24430	23845	71
25	25	125	233	24838	525	19	24713	24169	127
46	30	233	385	26346	646	48	26113	25419	200
88	30	402	1744	26454	648	25	26052	25379	1367
72	31	328	1131	26646	701	107	26318	25510	910
11	31	50	84	26681	691	24	26631	25916	58
29	34	137	266	27249	739	15	27112	26358	144
85	36	383	1624	27504	742	6	27121	26373	1247
93	37	415	1934	27766	773	35	27351	26543	1554
41	37	196	353	27776	784	11	27580	26785	168
50	39	250	417	28013	845	31	27763	26887	198
62	43	289	713	28408	894	1	28119	27224	425
10	46	45	79	28679	978	19	28634	27637	53
64	53	297	793	29068	1084	18	28771	27669	514
6	55	17	44	29167	1185	68	29150	27897	95
100	56	436	2179	29170	1184	84	28734	27466	1827
0	0	0	0	29170	0	0	29170	29170	0
