id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	10	43	188	32	0	178	146	33
10	0	78	208	221	13	0	143	130	130
15	0	101	318	323	5	0	222	217	217
5	0	11	63	325	14	33	314	267	85
11	0	82	221	880	38	0	798	760	139
58	0	331	1299	1308	9	0	977	968	968
60	0	340	1319	1320	1	0	980	979	979
64	0	360	1396	1397	1	0	1037	1036	1036
17	0	115	345	1508	25	32	1393	1336	262
70	0	399	1545	1548	3	0	1149	1146	1146
80	0	437	1753	1755	2	0	1318	1316	1316
82	0	439	1795	1804	9	0	1365	1356	1356
9	0	65	188	2435	44	0	2370	2326	123
35	0	230	802	2446	31	0	2216	2185	572
39	0	248	900	2535	29	0	2287	2258	652
42	0	263	969	2598	23	0	2335	2312	706
48	0	285	1088	2679	6	22	2394	2366	825
51	0	292	1129	2694	24	17	2402	2361	854
14	0	94	278	2720	46	0	2626	2580	184
55	0	316	1228	2797	19	75	2481	2387	987
59	0	334	1308	2868	22	81	2534	2431	1055
13	0	90	261	2919	46	109	2829	2674	280
6	0	31	95	3028	46	133	2997	2818	197
72	0	402	1568	3122	16	180	2720	2524	1346
79	0	431	1738	3140	33	7	2709	2669	1314
19	0	125	418	3177	57	0	3052	2995	293
84	0	459	1844	3206	25	0	2747	2722	1385
1	0	0	0	3238	73	39	3238	3126	39
92	0	509	2041	3323	23	0	2814	2791	1532
29	0	191	674	3635	34	18	3444	3392	501
33	0	200	742	3685	50	0	3485	3435	542
36	0	232	822	3726	41	0	3494	3453	590
41	0	254	930	3792	48	4	3538	3486	680
47	0	283	1068	3844	30	7	3561	3524	792
56	0	318	1239	3936	46	0	3618	3572	921
61	0	342	1320	3977	41	0	3635	3594	978
2	0	3	3	3997	102	60	3994	3832	60
65	0	363	1397	4099	40	53	3736	3643	1087
71	0	400	1548	4127	51	0	3727	3676	1148
83	0	449	1804	4338	52	0	3889	3837	1355
85	0	464	1864	4516	32	230	4052	3790	1630
32	0	199	722	4815	58	25	4616	4533	548
38	0	243	880	4875	62	7	4632	4563	644
40	0	252	920	4882	57	7	4630	4566	675
43	0	267	989	4944	56	61	4677	4560	783
28	0	190	658	4949	56	313	4759	4390	781
49	0	290	1089	4958	69	0	4668	4599	799
54	0	307	1208	5095	37	154	4788	4597	1055
69	0	394	1508	5129	71	5	4735	4659	1119
66	0	368	1417	5135	49	140	4767	4578	1189
68	0	384	1457	5194	62	136	4810	4612	1209
75	0	411	1618	5233	58	78	4822	4686	1285
77	0	424	1698	5270	68	12	4846	4766	1286
90	0	493	1981	5400	67	16	4907	4824	1504
93	0	513	2061	5446	66	0	4933	4867	1548
99	0	550	2189	5557	67	0	5007	4940	1639
22	0	153	498	5563	73	105	5410	5232	450
100	0	552	2209	5608	56	34	5056	4966	1691
34	0	203	762	5726	77	9	5523	5437	568
53	0	302	1188	5869	83	28	5567	5456	914
67	0	378	1437	5941	85	0	5563	5478	1059
78	0	430	1718	6034	78	56	5604	5470	1344
88	0	483	1941	6120	86	0	5637	5551	1458
45	0	276	1028	6537	102	82	6261	6077	834
37	0	240	842	6725	88	388	6485	6009	990
21	0	148	478	6792	120	13	6644	6511	343
23	0	156	518	6877	108	8	6721	6605	370
3	0	8	23	6950	173	0	6942	6769	15
27	0	186	638	7021	113	36	6835	6686	488
76	0	413	1638	7294	115	62	6881	6704	1287
91	0	496	2001	7402	114	41	6906	6751	1546
26	0	170	598	7535	134	59	7365	7172	487
46	0	282	1048	7602	147	0	7320	7173	766
74	0	409	1598	7766	137	38	7357	7182	1227
86	0	468	1881	7812	146	0	7344	7198	1413
98	0	547	2169	7948	139	19	7401	7243	1641
12	0	84	241	8109	163	112	8025	7750	269
63	0	359	1376	8120	154	9	7761	7598	1026
62	0	351	1360	8149	163	87	7798	7548	1096
73	0	405	1578	8170	161	0	7765	7604	1173
20	0	135	438	8233	173	130	8098	7795	433
95	0	519	2108	8235	143	50	7716	7523	1639
89	0	492	1961	8309	156	237	7817	7424	1706
44	0	275	1009	8378	171	40	8103	7892	774
94	0	514	2081	8518	184	46	8004	7774	1613
97	0	535	2129	8542	161	75	8007	7771	1669
8	0	60	156	8545	205	26	8485	8254	122
25	0	161	578	8564	200	39	8403	8164	456
31	0	198	702	8581	210	4	8383	8169	508
7	0	39	96	8748	241	200	8709	8268	257
16	0	111	325	8833	229	45	8722	8448	259
57	0	325	1279	8877	185	91	8552	8276	1045
24	0	157	558	9007	206	296	8850	8348	697
52	0	294	1148	9023	216	115	8729	8398	969
30	0	193	682	9083	273	76	8890	8541	565
96	0	520	2109	9085	232	247	8565	8086	1836
87	0	481	1921	9118	201	116	8637	8320	1556
50	0	291	1109	9119	219	385	8828	8224	1203
81	0	438	1755	9150	288	3	8712	8421	1320
18	0	120	398	9186	290	154	9066	8622	432
0	0	0	0	9186	3	0	9186	9183	0
