id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
10	0	78	98	111	13	0	33	20	20
15	0	101	111	116	5	0	15	10	10
5	0	11	86	149	14	33	138	91	108
2	0	3	3	169	102	60	166	4	60
17	0	115	116	180	25	32	65	8	33
29	0	191	207	278	34	18	87	35	34
48	0	285	288	332	6	22	47	19	25
58	0	331	332	341	9	0	10	1	1
60	0	340	341	342	1	0	2	1	1
64	0	360	367	368	1	0	8	7	7
70	0	399	403	406	3	0	7	4	4
51	0	292	384	441	24	17	149	108	109
80	0	437	441	443	2	0	6	4	4
55	0	316	342	451	19	75	135	41	101
82	0	439	451	460	9	0	21	12	12
59	0	334	356	471	22	81	137	34	103
79	0	431	471	540	33	7	109	69	47
42	0	263	593	616	23	0	353	330	330
72	0	402	406	622	16	180	220	24	184
65	0	363	540	641	40	53	278	185	230
92	0	509	696	719	23	0	210	187	187
66	0	368	416	772	49	140	404	215	188
85	0	464	486	778	32	230	314	52	252
47	0	283	742	784	30	7	501	464	466
84	0	459	808	833	25	0	374	349	349
39	0	248	912	941	29	0	693	664	664
13	0	90	130	970	46	109	880	725	149
41	0	254	289	999	48	4	745	693	39
35	0	230	1062	1093	31	0	863	832	832
54	0	307	885	1100	37	154	793	602	732
43	0	267	999	1126	56	61	859	742	793
4	0	10	1157	1189	32	0	1179	1147	1147
32	0	199	1224	1317	58	25	1118	1035	1050
75	0	411	572	1464	58	78	1053	917	239
28	0	190	215	1469	56	313	1279	910	338
77	0	424	1126	1506	68	12	1082	1002	714
6	0	31	85	1514	46	133	1483	1304	187
11	0	82	1514	1552	38	0	1470	1432	1432
68	0	384	641	1669	62	136	1285	1087	393
36	0	232	1715	1756	41	0	1524	1483	1483
61	0	342	1756	1797	41	0	1455	1414	1414
78	0	430	1390	1838	78	56	1408	1274	1016
38	0	243	1838	1943	62	7	1700	1631	1602
53	0	302	1669	1986	83	28	1684	1573	1395
9	0	65	1998	2042	44	0	1977	1933	1933
100	0	552	561	2161	56	34	1609	1519	43
14	0	94	2161	2207	46	0	2113	2067	2067
22	0	153	180	2253	73	105	2100	1922	132
56	0	318	2253	2299	46	0	1981	1935	1935
40	0	252	278	2346	57	7	2094	2030	33
33	0	200	2346	2396	50	0	2196	2146	2146
24	0	157	1189	2446	206	296	2289	1787	1328
71	0	400	2446	2497	51	0	2097	2046	2046
83	0	449	2497	2549	52	0	2100	2048	2048
34	0	203	231	2605	77	9	2402	2316	37
19	0	125	2605	2662	57	0	2537	2480	2480
69	0	394	2662	2790	71	5	2396	2320	2273
45	0	276	1591	2847	102	82	2571	2387	1397
90	0	493	2719	2857	67	16	2364	2281	2242
76	0	413	2857	3133	115	62	2720	2543	2506
23	0	156	3133	3347	108	8	3191	3075	2985
87	0	481	833	3380	201	116	2899	2582	468
93	0	513	3574	3640	66	0	3127	3061	3061
99	0	550	3723	3790	67	0	3240	3173	3173
49	0	290	3841	3910	69	0	3620	3551	3551
26	0	170	3380	4023	134	59	3853	3660	3269
57	0	325	3656	4047	185	91	3722	3446	3422
1	0	0	0	4119	73	39	4119	4007	39
97	0	535	3444	4364	161	75	3829	3593	2984
21	0	148	4265	4409	120	13	4261	4128	4130
12	0	84	3508	4646	163	112	4562	4287	3536
67	0	378	4728	4813	85	0	4435	4350	4350
27	0	186	4646	4844	113	36	4658	4509	4496
74	0	409	4844	5073	137	38	4664	4489	4473
37	0	240	4485	5074	88	388	4834	4358	4633
88	0	483	5074	5160	86	0	4677	4591	4591
91	0	496	664	5251	114	41	4755	4600	209
63	0	359	3202	5342	154	9	4983	4820	2852
20	0	135	2072	5594	173	130	5459	5156	2067
50	0	291	1029	5675	219	385	5384	4780	1123
94	0	514	5462	5759	184	46	5245	5015	4994
98	0	547	859	6361	139	19	5814	5656	331
16	0	111	5971	6386	229	45	6275	6001	5905
18	0	120	4409	6421	290	154	6301	5857	4443
62	0	351	368	6550	163	87	6199	5949	104
89	0	492	784	6682	156	237	6190	5797	529
31	0	198	4119	6819	210	4	6621	6407	3925
7	0	39	1552	6959	241	200	6920	6479	1713
95	0	519	521	7242	143	50	6723	6530	52
25	0	161	6959	7301	200	39	7140	6901	6837
86	0	468	7301	7447	146	0	6979	6833	6833
46	0	282	7447	7594	147	0	7312	7165	7165
44	0	275	308	7743	171	40	7468	7257	73
73	0	405	7894	8055	161	0	7650	7489	7489
8	0	60	8074	8319	205	26	8259	8028	8040
96	0	520	7743	8341	232	247	7821	7342	7470
3	0	8	8511	8684	173	0	8676	8503	8503
81	0	438	5759	9073	288	3	8635	8344	5324
52	0	294	8341	9089	216	115	8795	8464	8162
30	0	193	8711	9185	273	76	8992	8643	8594
0	0	0	0	9185	2	0	9185	9183	0
