id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
63	0	257	859	879	20	0	622	602	602
35	0	151	292	1055	11	0	904	893	141
36	0	153	310	1135	26	0	982	956	157
64	1	259	899	2997	25	0	2738	2713	640
40	1	172	340	3421	24	0	3249	3225	168
89	1	404	1787	3718	37	0	3314	3277	1383
52	1	221	451	4052	37	0	3831	3794	230
100	1	459	2194	4054	22	0	3595	3573	1735
10	1	25	53	4376	38	10	4351	4303	38
32	2	120	241	4850	56	0	4730	4674	121
17	2	49	117	4852	46	0	4803	4757	68
67	2	292	1002	4921	45	0	4629	4584	710
24	2	88	196	5408	49	0	5320	5271	108
91	2	423	1907	5458	50	0	5035	4985	1484
90	2	408	1827	6246	49	0	5838	5789	1419
1	3	0	0	6596	86	0	6596	6510	0
69	3	310	1055	6691	75	0	6381	6306	745
39	3	163	323	6835	71	0	6672	6601	160
44	3	186	387	7032	79	0	6846	6767	201
83	3	359	1615	7512	67	15	7153	7071	1271
33	3	127	257	7702	86	30	7575	7459	160
80	3	345	1495	7775	81	4	7430	7345	1154
53	4	225	459	7986	93	0	7761	7668	234
15	4	46	99	8046	107	0	8000	7893	53
93	4	425	1987	9520	104	0	9095	8991	1562
65	5	277	939	9802	104	0	9525	9421	662
23	5	82	184	10381	136	12	10299	10151	114
97	5	447	2121	10403	119	8	9956	9829	1682
14	5	43	95	10413	131	1	10370	10238	53
73	5	321	1215	10502	112	0	10181	10069	894
12	5	32	79	10692	134	83	10660	10443	130
76	5	330	1335	10883	129	30	10553	10394	1035
49	5	207	424	10953	112	2	10746	10632	219
99	6	454	2173	11894	141	0	11440	11299	1719
5	6	7	22	11945	157	1	11938	11780	16
88	7	403	1747	12873	156	0	12470	12314	1344
37	7	157	317	13167	168	3	13010	12839	163
3	7	5	6	13526	159	12	13521	13350	13
21	7	79	163	13621	170	21	13542	13351	105
28	8	104	225	14507	201	14	14403	14188	135
4	8	6	10	14597	188	0	14591	14403	4
79	8	342	1455	14784	187	0	14442	14255	1113
45	9	196	399	15554	200	3	15358	15155	206
47	9	202	408	15742	221	19	15540	15300	225
11	9	28	75	16133	224	0	16105	15881	47
43	9	184	359	16329	216	7	16145	15922	182
51	10	216	443	16724	228	33	16508	16247	260
41	10	174	342	16834	230	0	16660	16430	168
82	10	356	1575	16880	223	0	16524	16301	1219
84	10	387	1631	16885	239	65	16498	16194	1309
86	10	399	1711	17319	226	23	16920	16671	1335
34	11	147	277	18014	249	28	17867	17590	158
20	12	78	157	18960	255	0	18882	18627	79
85	12	389	1671	19143	256	1	18754	18497	1283
96	13	443	2107	19654	294	3	19211	18914	1667
9	13	24	48	19815	326	57	19791	19408	81
42	13	180	352	20123	290	0	19943	19653	172
18	14	53	127	20546	333	3	20493	20157	77
59	14	239	699	20567	283	10	20328	20035	470
13	14	42	82	20630	352	27	20588	20209	67
74	14	322	1255	21072	310	2	20750	20438	935
57	14	235	619	21121	312	2	20886	20572	386
6	14	10	25	21182	366	18	21172	20788	33
25	15	95	202	21457	324	16	21362	21022	123
94	15	427	2027	21593	335	25	21166	20806	1625
46	15	199	403	21651	325	0	21452	21127	204
22	15	80	174	21703	358	2	21623	21263	96
92	16	424	1947	22299	341	28	21875	21506	1551
58	16	236	659	22447	347	26	22211	21838	449
19	17	55	151	22774	377	8	22719	22334	104
78	17	341	1415	23021	378	13	22680	22289	1087
55	17	229	539	23028	383	12	22799	22404	322
29	18	107	229	23181	378	0	23074	22696	122
27	18	99	216	23312	391	10	23213	22812	127
16	18	48	107	23317	389	9	23269	22871	68
72	19	319	1175	23779	397	0	23460	23063	856
71	19	317	1135	24031	424	29	23714	23261	847
68	19	298	1030	24082	411	0	23784	23373	732
77	19	340	1375	24246	416	12	23906	23478	1047
50	20	209	427	24416	415	0	24207	23792	218
98	20	451	2146	24641	406	0	24190	23784	1695
95	21	433	2067	24786	427	3	24353	23923	1637
66	22	278	979	25346	477	71	25068	24520	772
26	22	98	207	25482	524	70	25384	24790	179
75	23	323	1295	25634	481	4	25311	24826	976
7	25	15	32	26202	536	0	26187	25651	17
60	25	240	739	26231	522	13	25991	25456	512
56	25	234	579	26518	561	78	26284	25645	423
54	26	227	499	26744	595	15	26517	25907	287
30	28	114	235	27005	564	20	26891	26307	141
70	29	316	1095	27339	610	0	27023	26413	779
2	31	2	2	27715	672	41	27713	27000	41
62	32	256	819	27813	691	16	27557	26850	579
38	35	162	321	28339	771	48	28177	27358	207
8	36	22	43	28449	790	31	28427	27606	52
87	37	402	1735	28490	784	25	28088	27279	1358
48	38	204	421	28633	865	44	28429	27520	261
31	40	117	239	28753	853	6	28636	27777	128
81	44	352	1535	28937	950	59	28585	27576	1242
61	47	241	779	28987	998	82	28746	27666	620
0	0	0	0	28987	0	0	28987	28987	0
