id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	86	86	0	86	0	0
35	0	151	167	178	11	0	27	16	16
10	0	25	133	186	38	10	161	113	118
40	0	172	186	210	24	0	38	14	14
36	0	153	223	249	26	0	96	70	70
63	0	257	277	297	20	0	40	20	20
64	0	259	297	322	25	0	63	38	38
52	0	221	355	392	37	0	171	134	134
100	0	459	475	497	22	0	38	16	16
89	0	404	527	564	37	0	160	123	123
67	0	292	564	609	45	0	317	272	272
17	0	49	609	655	46	0	606	560	560
24	0	88	703	752	49	0	664	615	615
80	0	345	655	785	81	4	440	355	314
90	0	408	785	834	49	0	426	377	377
91	0	423	834	884	50	0	461	411	411
32	0	120	989	1045	56	0	925	869	869
33	0	127	1045	1192	86	30	1065	949	948
83	0	359	392	1324	67	15	965	883	48
39	0	163	1394	1465	71	0	1302	1231	1231
69	0	310	1527	1602	75	0	1292	1217	1217
44	0	186	1602	1681	79	0	1495	1416	1416
12	0	32	935	1841	134	83	1809	1592	986
47	0	202	210	1926	221	19	1724	1484	27
84	0	387	393	2011	239	65	1624	1320	71
5	0	7	1192	2189	157	1	2182	2024	1186
53	0	225	2248	2341	93	0	2116	2023	2023
49	0	207	2535	2749	112	2	2542	2428	2330
97	0	447	458	2851	119	8	2404	2277	19
65	0	277	2851	2955	104	0	2678	2574	2574
93	0	425	2955	3059	104	0	2634	2530	2530
15	0	46	3059	3166	107	0	3120	3013	3013
14	0	43	86	3276	131	1	3233	3101	44
23	0	82	107	3386	136	12	3304	3156	37
73	0	321	3496	3608	112	0	3287	3175	3175
76	0	330	3386	3627	129	30	3297	3138	3086
43	0	184	3627	3966	216	7	3782	3559	3450
3	0	5	3746	4002	159	12	3997	3826	3753
21	0	79	4287	4555	170	21	4476	4285	4229
37	0	157	249	4695	168	3	4538	4367	95
28	0	104	1101	4835	201	14	4731	4516	1011
99	0	454	4835	4976	141	0	4522	4381	4381
88	0	403	5570	5726	156	0	5323	5167	5167
9	0	24	5119	6069	326	57	6045	5662	5152
59	0	239	2637	6428	283	10	6189	5896	2408
71	0	317	2011	7002	424	29	6685	6232	1723
38	0	162	6069	7483	771	48	7321	6502	5955
79	0	342	7667	7854	187	0	7512	7325	7325
85	0	389	7483	7926	256	1	7537	7280	7095
4	0	6	7926	8114	188	0	8108	7920	7920
45	0	196	214	8875	200	3	8679	8476	21
51	0	216	322	9132	228	33	8916	8655	139
92	0	424	8494	9221	341	28	8797	8428	8098
16	0	48	7159	9426	389	9	9378	8980	7120
19	0	55	5726	9839	377	8	9784	9399	5679
86	0	399	437	10088	226	23	9689	9440	61
94	0	427	9426	10184	335	25	9757	9397	9024
82	0	356	10406	10629	223	0	10273	10050	10050
22	0	80	10184	10765	358	2	10685	10325	10106
11	0	28	10765	10989	224	0	10961	10737	10737
41	0	174	10989	11219	230	0	11045	10815	10815
25	0	95	2341	11449	324	16	11354	11014	2262
27	0	99	5416	11686	391	10	11587	11186	5327
34	0	147	163	12174	249	28	12027	11750	44
78	0	341	4127	12558	378	13	12217	11826	3799
77	0	340	11686	12592	416	12	12252	11824	11358
13	0	42	2435	12844	352	27	12802	12423	2420
20	0	78	13098	13353	255	0	13275	13020	13020
57	0	235	12844	13411	312	2	13176	12862	12611
95	0	433	13670	14108	427	3	13675	13245	13240
56	0	234	8114	14482	561	78	14248	13609	7958
18	0	53	884	14764	333	3	14711	14375	834
60	0	240	14206	15013	522	13	14773	14238	13979
96	0	443	447	15296	294	3	14853	14556	7
42	0	180	15584	15874	290	0	15694	15404	15404
74	0	322	15296	15896	310	2	15574	15262	14976
6	0	10	16193	17032	366	18	17022	16638	16201
55	0	229	16683	17099	383	12	16870	16475	16466
58	0	236	17099	17769	347	26	17533	17160	16889
30	0	114	17418	18010	564	20	17896	17312	17324
46	0	199	18010	18335	325	0	18136	17811	17811
75	0	323	5263	18672	481	4	18349	17864	4944
29	0	107	19045	19423	378	0	19316	18938	18938
48	0	204	15896	19461	865	44	19257	18348	15736
72	0	319	19849	20246	397	0	19927	19530	19530
66	0	278	20281	21185	477	71	20907	20359	20074
2	0	2	4976	21386	672	41	21384	20671	5015
26	0	98	19461	21388	524	70	21290	20696	19433
98	0	451	21388	21794	406	0	21343	20937	20937
68	0	298	21794	22205	411	0	21907	21496	21496
50	0	209	22205	22620	415	0	22411	21996	21996
87	0	402	22620	23875	784	25	23473	22664	22243
62	0	256	8304	24713	691	16	24457	23750	8064
61	0	241	23046	24903	998	82	24662	23582	22887
7	0	15	25416	25952	536	0	25937	25401	25401
54	0	227	24903	26572	595	15	26345	25735	24691
70	0	316	26588	27198	610	0	26882	26272	26272
8	0	22	26031	28067	790	31	28045	27224	26040
31	0	117	27344	28287	853	6	28170	27311	27233
81	0	352	4002	28987	950	59	28635	27626	3709
0	0	0	0	28987	0	0	28987	28987	0
