id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
8	0	45	130	139	9	0	94	85	85
20	0	102	401	421	20	0	319	299	299
28	0	159	581	600	19	0	441	422	422
31	0	168	660	661	1	0	493	492	492
36	0	193	747	750	3	0	557	554	554
11	0	52	179	797	27	0	745	718	127
51	0	251	1011	1026	15	0	775	760	760
13	0	57	246	1259	35	33	1202	1134	222
68	0	307	1330	1341	11	0	1034	1023	1023
70	0	325	1381	1401	20	0	1076	1056	1056
85	0	390	1732	1742	10	0	1352	1342	1342
87	0	395	1750	1751	1	0	1356	1355	1355
89	0	400	1771	1783	12	0	1383	1371	1371
19	0	95	381	1785	22	0	1690	1668	286
91	0	405	1788	1804	16	0	1399	1383	1383
96	0	428	1878	1880	2	0	1452	1450	1450
97	0	430	1880	1884	4	0	1454	1450	1450
98	0	438	1884	1896	12	0	1458	1446	1446
99	0	451	1911	1918	7	0	1467	1460	1460
23	0	119	485	1992	34	0	1873	1839	366
24	0	139	525	2072	15	116	1933	1802	502
25	0	147	539	2146	20	166	1999	1813	558
42	0	226	858	2397	10	73	2171	2088	705
49	0	246	971	2458	36	0	2212	2176	725
53	0	255	1039	2482	10	11	2227	2206	795
57	0	265	1090	2559	19	17	2294	2258	842
58	0	268	1094	2567	28	0	2299	2271	826
61	0	279	1154	2613	26	0	2334	2308	875
80	0	347	1560	2975	32	0	2628	2596	1213
18	0	89	341	3074	45	0	2985	2940	252
17	0	73	323	3091	55	34	3018	2929	284
92	0	408	1804	3195	24	29	2787	2734	1425
26	0	151	545	3378	45	47	3227	3135	441
29	0	162	620	3385	47	0	3223	3176	458
7	0	38	110	3416	57	111	3378	3210	183
32	0	171	661	3541	47	150	3370	3173	640
35	0	187	740	3548	16	97	3361	3248	650
43	0	227	864	3676	35	64	3449	3350	701
46	0	240	926	3684	33	2	3444	3409	688
16	0	71	303	3997	62	0	3926	3864	232
74	0	338	1456	4057	52	1	3719	3666	1119
78	0	344	1520	4084	57	0	3740	3683	1176
81	0	352	1580	4173	38	58	3821	3725	1286
83	0	360	1632	4176	37	16	3816	3763	1288
86	0	393	1742	4210	42	7	3817	3768	1356
95	0	419	1858	4272	45	0	3853	3808	1439
90	0	404	1785	4277	28	133	3873	3712	1514
9	0	48	139	4413	98	56	4365	4211	147
34	0	179	700	4418	65	0	4239	4174	521
47	0	241	946	4639	78	0	4398	4320	705
52	0	253	1026	4683	57	24	4430	4349	797
59	0	272	1114	4723	80	0	4451	4371	842
56	0	263	1085	4736	40	68	4473	4365	890
14	0	61	263	4774	81	15	4713	4617	217
72	0	332	1416	4957	71	25	4625	4529	1109
79	0	346	1540	4977	80	0	4631	4551	1194
4	0	22	36	5042	92	112	5020	4816	126
88	0	398	1751	5117	64	19	4719	4636	1372
21	0	107	421	5217	79	76	5110	4955	390
33	0	175	680	5278	66	32	5103	5005	537
55	0	257	1065	5492	80	99	5235	5056	907
62	0	284	1181	5573	64	87	5289	5138	984
67	0	305	1319	5598	76	3	5293	5214	1017
82	0	353	1592	5715	97	0	5362	5265	1239
94	0	416	1838	5814	78	19	5398	5301	1441
100	0	458	1918	5834	85	14	5376	5277	1474
37	0	195	750	5943	113	35	5748	5600	590
10	0	50	159	5981	120	66	5931	5745	175
41	0	225	838	6009	100	24	5784	5660	637
44	0	233	866	6016	90	33	5783	5660	666
76	0	340	1480	6343	94	158	6003	5751	1298
38	0	198	770	6485	121	0	6287	6166	572
40	0	211	817	6487	107	21	6276	6148	627
63	0	289	1201	6619	132	0	6330	6198	912
50	0	247	991	6659	123	94	6412	6195	838
77	0	341	1500	6763	107	71	6422	6244	1230
71	0	327	1401	6777	121	179	6450	6150	1253
69	0	310	1341	6827	112	134	6517	6271	1165
5	0	32	70	6857	131	95	6825	6599	133
2	0	9	9	6927	165	138	6918	6615	138
3	0	15	29	6962	174	20	6947	6753	34
39	0	209	797	6979	119	171	6770	6480	759
60	0	274	1134	7073	138	142	6799	6519	1002
93	0	413	1818	7158	143	9	6745	6593	1414
27	0	156	561	7190	165	17	7034	6852	422
64	0	295	1221	7262	146	15	6967	6806	941
30	0	167	640	7445	183	0	7278	7095	473
12	0	55	199	7463	179	96	7408	7133	240
22	0	109	441	7501	166	245	7392	6981	577
73	0	335	1436	7560	192	0	7225	7033	1101
75	0	339	1468	7570	165	157	7231	6909	1286
66	0	301	1279	7695	188	93	7394	7113	1071
84	0	388	1712	7706	200	30	7318	7088	1354
45	0	237	886	7756	207	71	7519	7241	720
6	0	37	90	8001	300	19	7964	7645	72
15	0	69	283	8101	340	0	8032	7692	214
48	0	244	966	8145	240	371	7901	7290	1093
54	0	256	1045	8149	295	275	7893	7323	1064
65	0	297	1259	8366	509	54	8069	7506	1016
0	0	0	0	8366	8	0	8366	8358	0
