id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	15	198	262	64	0	247	183	183
4	0	45	262	366	104	0	321	217	217
5	0	47	366	393	27	0	346	319	319
6	0	48	393	485	92	0	437	345	345
7	0	50	485	539	54	0	489	435	435
9	0	58	548	618	70	0	560	490	490
10	0	65	618	642	24	0	577	553	553
1	0	0	0	701	124	2	701	575	2
12	0	82	701	715	14	0	633	619	619
13	0	88	715	722	7	0	634	627	627
14	0	89	722	806	84	0	717	633	633
16	0	102	813	989	176	0	887	711	711
20	0	125	1179	1187	8	0	1062	1054	1054
21	0	126	1187	1228	41	0	1102	1061	1061
22	0	130	1228	1350	122	0	1220	1098	1098
27	0	169	1817	1866	49	0	1697	1648	1648
30	0	182	1939	1952	13	0	1770	1757	1757
33	0	204	2117	2200	83	0	1996	1913	1913
39	0	227	2534	2574	40	0	2347	2307	2307
40	0	237	2574	2774	200	0	2537	2337	2337
42	0	245	2855	2972	117	0	2727	2610	2610
51	0	291	3342	3366	24	0	3075	3051	3051
61	0	349	3827	3831	4	0	3482	3478	3478
62	0	356	3831	3870	39	0	3514	3475	3475
64	0	378	3947	4044	97	0	3666	3569	3569
65	0	379	4044	4131	87	0	3752	3665	3665
66	0	383	4131	4133	2	0	3750	3748	3748
74	0	431	4336	4340	4	0	3909	3905	3905
75	0	440	4340	4444	104	0	4004	3900	3900
76	0	441	4444	4448	4	0	4007	4003	4003
78	0	471	4498	4582	84	0	4111	4027	4027
82	0	490	4810	4849	39	0	4359	4320	4320
84	0	520	4903	4914	11	0	4394	4383	4383
86	0	528	4941	4947	6	0	4419	4413	4413
89	0	555	5008	5044	36	0	4489	4453	4453
92	0	579	5160	5199	39	0	4620	4581	4581
94	0	585	5243	5359	116	0	4774	4658	4658
95	0	593	5359	5384	25	0	4791	4766	4766
96	0	595	5384	5414	30	0	4819	4789	4789
98	0	602	5417	5488	71	0	4886	4815	4815
99	0	613	5488	5670	182	0	5057	4875	4875
11	0	74	642	5695	30	47	5621	5544	615
15	0	90	806	5707	19	10	5617	5588	726
26	0	163	1705	6306	133	75	6143	5935	1617
29	0	177	1876	6393	138	62	6216	6016	1761
2	0	5	77	6602	309	18	6597	6270	90
34	0	209	2200	6620	174	58	6411	6179	2049
35	0	210	2356	6627	69	14	6417	6334	2160
36	0	216	2418	6675	76	46	6459	6337	2248
37	0	218	2446	6687	66	16	6469	6387	2244
38	0	224	2500	6688	35	112	6464	6317	2388
41	0	242	2774	6747	140	16	6505	6349	2548
47	0	263	3160	6753	12	13	6490	6465	2910
43	0	250	2972	6924	103	176	6674	6395	2898
48	0	278	3166	7058	150	51	6780	6579	2939
49	0	281	3182	7070	52	21	6789	6716	2922
52	0	298	3366	7075	28	8	6777	6741	3076
50	0	286	3222	7135	180	74	6849	6595	3010
55	0	310	3544	7172	78	44	6862	6740	3278
56	0	320	3585	7173	19	36	6853	6798	3301
53	0	302	3389	7338	132	221	7036	6683	3308
58	0	331	3650	7388	68	14	7057	6975	3333
57	0	325	3603	7400	59	118	7075	6898	3396
59	0	332	3668	7432	108	40	7100	6952	3376
60	0	348	3744	7433	84	118	7085	6883	3514
63	0	359	3870	7489	133	8	7130	6989	3519
67	0	399	4133	7501	39	7	7102	7056	3741
70	0	413	4224	7560	71	17	7147	7059	3828
69	0	404	4196	7653	33	105	7249	7111	3897
72	0	422	4263	7713	91	107	7291	7093	3948
77	0	455	4448	7761	95	21	7306	7190	4014
79	0	481	4582	7787	40	14	7306	7252	4115
87	0	532	4947	8007	82	20	7475	7373	4435
88	0	546	4974	8072	99	3	7526	7424	4431
8	0	52	539	8081	96	98	8029	7835	585
93	0	580	5199	8084	47	18	7504	7439	4637
97	0	600	5414	8211	79	61	7611	7471	4875
17	0	107	989	8295	276	24	8188	7888	906
100	0	614	5670	8300	12	266	7686	7408	5322
23	0	147	1350	8703	174	139	8556	8243	1342
25	0	157	1576	8750	435	20	8593	8138	1439
28	0	173	1866	8802	74	136	8629	8419	1829
44	0	253	3057	9032	147	88	8779	8544	2892
46	0	261	3145	9063	48	77	8802	8677	2961
54	0	303	3444	9124	215	239	8821	8367	3380
73	0	424	4294	9178	98	86	8754	8570	3956
71	0	421	4236	9315	220	122	8894	8552	3937
80	0	482	4596	9318	143	50	8836	8643	4164
81	0	485	4707	9323	153	37	8838	8648	4259
85	0	522	4914	9443	166	54	8921	8701	4446
83	0	498	4849	9521	204	59	9023	8760	4410
90	0	561	5122	9529	20	174	8968	8774	4735
18	0	118	994	9653	476	120	9535	8939	996
24	0	149	1459	9728	264	139	9579	9176	1449
45	0	258	3143	9891	161	214	9633	9258	3099
91	0	562	5125	9896	147	187	9334	9000	4750
19	0	119	1062	9906	176	349	9787	9262	1292
31	0	187	1952	9925	270	82	9738	9386	1847
32	0	199	2036	9928	222	148	9729	9359	1985
68	0	401	4160	9971	183	176	9570	9211	3935
0	0	0	0	9971	3	0	9971	9968	0
