id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	192	192	0	192	0	0
5	0	22	231	239	8	0	217	209	209
6	0	33	239	241	2	0	208	206	206
8	0	48	338	424	86	0	376	290	290
9	0	50	424	494	70	0	444	374	374
10	0	52	494	585	91	0	533	442	442
12	0	69	596	626	30	0	557	527	527
13	0	72	626	635	9	0	563	554	554
16	0	106	699	855	156	0	749	593	593
17	0	118	855	988	133	0	870	737	737
18	0	121	988	1002	14	0	881	867	867
20	0	126	1114	1145	31	0	1019	988	988
21	0	136	1145	1149	4	0	1013	1009	1009
25	0	169	1446	1469	23	0	1300	1277	1277
28	0	177	1561	1573	12	0	1396	1384	1384
31	0	204	1715	1721	6	0	1517	1511	1511
32	0	209	1721	1761	40	0	1552	1512	1512
33	0	212	1761	1805	44	0	1593	1549	1549
2	0	13	192	1874	73	20	1861	1768	199
36	0	232	1976	1996	20	0	1764	1744	1744
37	0	237	2037	2043	6	0	1806	1800	1800
38	0	248	2043	2113	70	0	1865	1795	1795
41	0	269	2155	2166	11	0	1897	1886	1886
42	0	292	2166	2212	46	0	1920	1874	1874
44	0	304	2253	2270	17	0	1966	1949	1949
45	0	307	2270	2283	13	0	1976	1963	1963
46	0	308	2283	2435	152	0	2127	1975	1975
47	0	310	2435	2444	9	0	2134	2125	2125
48	0	312	2444	2451	7	0	2139	2132	2132
49	0	318	2451	2473	22	0	2155	2133	2133
50	0	321	2473	2477	4	0	2156	2152	2152
52	0	335	2499	2500	1	0	2165	2164	2164
56	0	345	2519	2521	2	0	2176	2174	2174
7	0	39	241	2701	219	34	2662	2409	236
61	0	387	2942	2944	2	0	2557	2555	2555
62	0	390	2944	2960	16	0	2570	2554	2554
4	0	17	224	3090	70	173	3073	2830	380
64	0	411	3090	3233	143	0	2822	2679	2679
65	0	413	3233	3260	27	0	2847	2820	2820
68	0	439	3400	3431	31	0	2992	2961	2961
77	0	476	3978	4018	40	0	3542	3502	3502
78	0	478	4018	4142	124	0	3664	3540	3540
81	0	509	4318	4345	27	0	3836	3809	3809
82	0	512	4345	4592	247	0	4080	3833	3833
83	0	515	4592	4656	64	0	4141	4077	4077
88	0	554	5038	5147	109	0	4593	4484	4484
90	0	560	5238	5323	85	0	4763	4678	4678
91	0	564	5323	5324	1	0	4760	4759	4759
92	0	568	5324	5341	17	0	4773	4756	4756
94	0	574	5503	5513	10	0	4939	4929	4929
95	0	580	5513	5557	44	0	4977	4933	4933
98	0	600	5629	5656	27	0	5056	5029	5029
99	0	612	5656	5708	52	0	5096	5044	5044
14	0	86	635	5873	90	32	5787	5665	581
22	0	137	1149	6130	105	85	5993	5803	1097
23	0	142	1190	6236	210	2	6094	5882	1050
26	0	172	1469	6340	57	56	6168	6055	1353
27	0	173	1517	6534	238	176	6361	5947	1520
34	0	223	1874	6654	30	38	6431	6363	1689
3	0	16	196	6666	81	52	6650	6517	232
35	0	229	1888	6769	191	107	6540	6242	1766
40	0	265	2130	6783	37	101	6518	6380	1966
43	0	302	2212	6797	55	135	6495	6305	2045
51	0	328	2477	6806	31	2	6478	6445	2151
54	0	342	2502	6862	57	13	6520	6450	2173
53	0	338	2500	6905	45	28	6567	6494	2190
57	0	357	2521	6948	75	19	6591	6497	2183
58	0	375	2701	6949	152	4	6574	6418	2330
59	0	381	2852	6999	100	29	6618	6489	2500
60	0	382	2902	7096	137	28	6714	6549	2548
66	0	420	3260	7280	43	31	6860	6786	2871
67	0	430	3284	7302	138	93	6872	6641	2947
69	0	443	3431	7342	129	22	6899	6748	3010
70	0	448	3520	7379	180	2	6931	6749	3074
72	0	454	3736	7493	171	51	7039	6817	3333
75	0	474	3927	7526	82	5	7052	6965	3458
76	0	475	3976	7562	4	62	7087	7021	3563
80	0	503	4275	7600	54	100	7097	6943	3872
79	0	488	4142	7796	329	144	7308	6835	3798
85	0	543	4715	8146	244	20	7603	7339	4192
87	0	548	4984	8159	67	10	7611	7534	4446
86	0	547	4904	8160	81	110	7613	7422	4467
89	0	555	5147	8190	121	97	7635	7417	4689
93	0	572	5341	8310	187	98	7738	7453	4867
11	0	61	585	8726	113	62	8665	8490	586
15	0	99	667	8762	158	32	8663	8473	600
19	0	125	1002	8906	359	82	8781	8340	959
29	0	201	1573	8978	204	132	8777	8441	1504
55	0	343	2503	9073	46	85	8730	8599	2245
63	0	401	2960	9133	292	71	8732	8369	2630
74	0	469	3919	9204	91	125	8735	8519	3575
73	0	466	3823	9210	129	152	8744	8463	3509
97	0	590	5591	9394	304	130	8804	8370	5131
100	0	615	5708	9466	237	59	8851	8555	5152
24	0	160	1294	9597	383	54	9437	9000	1188
39	0	252	2113	9641	99	142	9389	9148	2003
30	0	203	1687	9653	176	246	9450	9028	1730
96	0	587	5557	9717	245	187	9130	8698	5157
84	0	520	4656	9832	552	38	9312	8722	4174
71	0	453	3663	9978	258	147	9525	9120	3357
0	0	0	0	9978	52	0	9978	9926	0
